#username;email;password
testB4tch0001;testB4tch0001@mail.herazade.com;testAA123+
testB4tch0002;testB4tch0002@mail.herazade.com;testAA123+
testB4tch0003;testB4tch0003@mail.herazade.com;testAA123+
testB4tch0004;testB4tch0004@mail.herazade.com;testAA123+
testB4tch0005;testB4tch0005@mail.herazade.com;testAA123+
testB4tch0006;testB4tch0006@mail.herazade.com;testAA123+
testB4tch0007;testB4tch0007@mail.herazade.com;testAA123+
testB4tch0008;testB4tch0008@mail.herazade.com;testAA123+
testB4tch0009;testB4tch0009@mail.herazade.com;testAA123+
testB4tch0010;testB4tch0010@mail.herazade.com;testAA123+
